patch_id,bug_id,model,s_cex,n_valid,n_passed,n_generated,error
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,claude-haiku-4-5,1.0,2,2,3,
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Chart-12,claude-haiku-4-5,1.0,1,1,3,
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure-115,claude-haiku-4-5,,0,0,3,
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart-15,claude-haiku-4-5,1.0,1,1,3,
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,Lang-58,claude-haiku-4-5,1.0,1,1,4,
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,Closure-117,claude-haiku-4-5,,0,0,3,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,Math-28,claude-haiku-4-5,,0,0,3,
Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,Time-11,claude-haiku-4-5,,0,0,3,
Patches_ICSE__Dsame__ACS__Time__patch1-Time-15-ACS,Time-15,claude-haiku-4-5,1.0,1,1,3,
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-43-SimFix,Lang-43,claude-haiku-4-5,,0,0,3,
Patches_others__Dcorrect__CapGen__Math__patch1-Math-53-CapGen,Math-53,claude-haiku-4-5,,0,0,1,
Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-14-SimFix-plausible,Closure-14,claude-haiku-4-5,,0,0,3,
Patches_others__Dcorrect__SketchFix__Closure__patch1-Closure-14-SketchFix,Closure-14,claude-haiku-4-5,,0,0,3,
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,Closure-31,claude-haiku-4-5,,0,0,1,
Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-31-RSRepair-plausible,Closure-31,claude-haiku-4-5,,0,0,3,
Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-31-Jaid,Closure-31,claude-haiku-4-5,,0,0,3,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,claude-haiku-4-5,1.0,1,1,3,
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible,Lang-24,claude-haiku-4-5,1.0,1,1,3,
Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,Lang-24,claude-haiku-4-5,1.0,1,1,3,
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Lang-39,claude-haiku-4-5,,,,0,"gave up after 6 attempts: InternalServerError: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011Cf5HbqSFX28fKwShDdKrN'}"
